书名,作者,出版社,出版时间,价格,评分,评分人数,短评
简爱（英文全本）,[英] 夏洛蒂·勃朗特,世界图书出版公司,2020年11月,18,8.5,189660,灰姑娘在十九世纪
象棋的故事,[奥] 斯台芬·茨威格,上海译文出版社,2020年7月,23,9.1,9086,纳粹法西斯对人心灵的折磨及摧残
恶意,[日] 东野圭吾,南海出版公司,2020年6月,18,8.4,202006,将手记体叙事的无限可能发挥得淋漓尽致
设计中的设计,[日] 原研哉,山东人民出版社,2020年11月,48,8.6,30153,日常生活的无限可能性
故事新编,鲁迅,人民文学出版社,1973年12月,0.31,9.3,15699,拾取古代传说，取一点因由，随意点染
众病之王,[美] 悉达多·穆克吉,中信出版社,2013年2月,42,9.1,8697,癌症传
论语,中华书局,中华书局,2020年12月,9.8,9.1,14177,仁远乎哉？我欲仁，斯仁至矣
毛姆短篇小说精选集,(英)威廉·萨默塞特·毛姆,译林出版社,2020年11月,36,9,8975,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
夏洛的网,[美] E.B.怀特,上海译文出版社,2020年5月,17,8.6,54006,一个蜘蛛和小猪的故事，写给孩子，也写给大人
荒原狼,[德]赫尔曼·黑塞,上海译文出版社,2020年7月,13,9,11404,“超现实主义”风格作品，德国的《尤利西斯》
ZOO,[日] 乙一,当代世界出版社,2020年10月,20,8.6,35867,噩梦中的一丝温度
世界尽头与冷酷仙境,[日] 村上春树,上海译文出版社,2020年12月,23,8.6,37912,交叉平行蒙太奇
当呼吸化为空气,[美] 保罗·卡拉尼什,猫头鹰文化·浙江文艺出版社,2020年12月,48,8.8,17177,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
稻草人手记,三毛,北京十月文艺出版社,2020年3月,18,8.9,15415,三毛在加纳利群岛上的生活
步履不停,[日] 是枝裕和,北京联合出版公司,2020年5月,36.8,8.7,27044,人生路上，步履不停，总有那么一点来不及
二手时间,[白俄] S. A. 阿列克谢耶维奇,中信出版集团,2020年1月,55,8.8,14873,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
佐贺的超级阿嬷,[日] 岛田洋七,南海出版公司,2020年3月,20,8.7,19300,乐观的外婆却总有神奇的办法
狂热分子,[美] 埃里克·霍弗,广西师范大学出版社,2020年6月,34,8.9,10777,探讨群众运动的共有特征
香水,[德] 帕·聚斯金德,上海译文出版社,2020年5月,20,8.5,36919,每一次谋杀只因迷恋她们身上的味道
人类的群星闪耀时,[奥] 斯蒂芬·茨威格,广西师范大学出版社,2020年8月,18,8.7,22166,十四个影响人类文明的瞬间
牡丹亭,汤显祖,人民文学出版社,1963年4月,14.5,9,10047,不到园林，怎知春色如许
挪威的森林,[日] 村上春树,上海译文出版社,2020年7月,23,8.5,106762,像喜欢春天的熊一样
世界的凛冬,[英] 肯·福莱特,江苏凤凰文艺出版社,2017年3月,132,8.8,20590,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长
金阁寺,[日] 三岛由纪夫,上海译文出版社,2020年1月,24,8.7,21309,他的犯罪动机是对美的嫉妒
影响力,[美] 罗伯特·西奥迪尼,中国人民大学出版社,2020年5月,45,8.6,40923,营销防骗指南
多情剑客无情剑(上、中、下),古龙,海天出版社,1991年12月,49.8,8.7,17616,流水滔滔斩不断，情丝百结冲不破
社会契约论,卢梭,商务印书馆,2003年2月,18,8.8,14290,一个国家只能有一个契约
哈姆莱特,[英] 莎士比亚,人民文学出版社,2020年1月,7,8.6,37214,生存还是毁灭，这是一个值得思考的问题
美丽新世界,[英] 阿道司·赫胥黎,重庆出版社,2020年6月,20,8.7,22504,最经典的反乌托邦文学之一
老人与海,海明威,上海译文出版社,1999年10月,8.2,8.4,160172,正是悲壮赋予生活以意义
告白,[日]凑佳苗,哈尔滨出版社,2010年6月,26,8.5,11703,
一个人的村庄,刘亮程,春风文艺出版社,2020年1月,28,8.9,12443,他是真正的作家，也是真正的农民
通往奴役之路,弗里德利希・冯・哈耶克,中国社会科学出版社,1997年8月,16,8.8,12946,古典自由主义杰作
安娜·卡列尼娜,[俄] 列夫·托尔斯泰,上海文艺出版社,2020年8月,37,9.2,11760,
规训与惩罚,[法] 米歇尔·福柯,生活·读书·新知三联书店,2020年1月,21.8,9.2,6674,伴随着惩罚的人性化，自由反而日益丧失了
美国宪政历程,任东来,中国法制出版社,2020年1月,35,9.1,6935,25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中
了不起的盖茨比,[美] 斯科特·菲茨杰拉德,南海出版公司,2020年5月,25,8.7,28633,
骆驼祥子,老舍,人民文学出版社,2000年3月,12,8.4,157806,旧中国老北京贫苦市民的典型命运
欢乐英雄,古龙,珠海出版社,2020年8月,28,8.8,13362,坚持自己的信念，在贫穷中获得欢乐与友谊
别闹了，费曼先生,[美] 理查德·费曼,生活·读书·新知三联书店,1997年12月,22,8.9,8885,科学顽童的故事
长袜子皮皮,[瑞典] 阿斯特丽德·林格伦,中国少年儿童出版社,1999年3月,17.8,9,8991,
